Table ID,Table Title,Table Universe
B01001,SEX BY AGE,Total population
B01001A,SEX BY AGE (WHITE ALONE),People who are White alone
B01001B,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),People who are Black or African American alone
B01001C,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),People who are American Indian and Alaska Native alone
B01001D,SEX BY AGE (ASIAN ALONE),People who are Asian alone
B01001E,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),People who are Native Hawaiian and Other Pacific Islander alone
B01001F,SEX BY AGE (SOME OTHER RACE ALONE),People who are Some Other Race alone
B01001G,SEX BY AGE (TWO OR MORE RACES),People who are Two or More Races
B01001H,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","White alone, not Hispanic or Latino population"
B01001I,SEX BY AGE (HISPANIC OR LATINO),People who are Hispanic or Latino
B01002,MEDIAN AGE BY SEX,Total population
B01002A,MEDIAN AGE BY SEX (WHITE ALONE),People who are White alone
B01002B,MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),People who are Black or African American alone
B01002C,MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE ALONE) ,People who are American Indian and Alaska Native alone
B01002D,MEDIAN AGE BY SEX (ASIAN ALONE),People who are Asian alone
B01002E,MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),People who are Native Hawaiian and Other Pacific Islander alone
B01002F,MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),People who are Some Other Race alone
B01002G,MEDIAN AGE BY SEX (TWO OR MORE RACES),People who are Two or More Races
B01002H,"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)","White alone, not Hispanic or Latino population"
B01002I,MEDIAN AGE BY SEX (HISPANIC OR LATINO),People who are Hispanic or Latino
B01003,TOTAL POPULATION,Total population
B02001,RACE,Total population
B02008,WHITE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES ,White alone or in combination with one or more other races
B02009,BLACK OR AFRICAN AMERICAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Black or African American alone or in combination with one or more other races
B02010,AMERICAN INDIAN AND ALASKA NATIVE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,People who are American Indian or Alaska Native alone or in combination with one or more other races
B02011,ASIAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Asian alone or in combination with one or more other races
B02012,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races
B02013,SOME OTHER RACE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Some other race alone or in combination with one or more other races
B02014,AMERICAN INDIAN AND ALASKA NATIVE ALONE FOR SELECTED TRIBAL GROUPINGS,People who are American Indian and Alaska Native alone and people with no tribe reported
B02015,ASIAN ALONE BY SELECTED GROUPS,Total Asian alone population
B02016,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE BY SELECTED GROUPS,Total Native Hawaiian and Other Pacific Islander alone population
B02017,AMERICAN INDIAN AND ALASKA NATIVE (AIAN) ALONE OR IN ANY COMBINATION BY SELECTED TRIBAL GROUPINGS,Total AIAN alone or in any combination population (the total groups tallied)
B02018,ASIAN ALONE OR IN ANY COMBINATION BY SELECTED GROUPS,Total Asian alone or in any combination population (the total groups tallied)
B02019,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN ANY COMBINATION BY SELECTED GROUPS,Total NHPI alone or in any combination population (the total groups tallied)
B03001,HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN,Total population
B03002,HISPANIC OR LATINO ORIGIN BY RACE,Total population
